STATE/UT,DISTRICT,YEAR,crime_type,crime_count,Region
ARUNACHAL PRADESH,PAPUM PARE,2001,CRIMINAL BREACH OF TRUST,12,East
ARUNACHAL PRADESH,PAPUM PARE,2001,CHEATING,8,East
ARUNACHAL PRADESH,PAPUM PARE,2001,COUNTERFIETING,2,East
ARUNACHAL PRADESH,PAPUM PARE,2001,ARSON,1,East
ARUNACHAL PRADESH,PAPUM PARE,2001,HURT/GREVIOUS HURT,84,East
ARUNACHAL PRADESH,PAPUM PARE,2001,DOWRY DEATHS,0,East
ARUNACHAL PRADESH,PAPUM PARE,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,6,East
ARUNACHAL PRADESH,PAPUM PARE,2001,INSULT TO MODESTY OF WOMEN,0,East
ARUNACHAL PRADESH,PAPUM PARE,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,3,East
ARUNACHAL PRADESH,PAPUM PARE,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,East
ARUNACHAL PRADESH,PAPUM PARE,2001,CAUSING DEATH BY NEGLIGENCE,0,East
ARUNACHAL PRADESH,SIANG EAST,2001,MURDER,7,East
ARUNACHAL PRADESH,SIANG EAST,2001,ATTEMPT TO MURDER,0,East
ARUNACHAL PRADESH,SIANG EAST,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0,East
ARUNACHAL PRADESH,SIANG EAST,2001,RAPE,5,East
ARUNACHAL PRADESH,SIANG EAST,2001,CUSTODIAL RAPE,0,East
ARUNACHAL PRADESH,SIANG EAST,2001,OTHER RAPE,5,East
ARUNACHAL PRADESH,SIANG EAST,2001,KIDNAPPING & ABDUCTION,11,East
ARUNACHAL PRADESH,SIANG EAST,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,7,East
ARUNACHAL PRADESH,SIANG EAST,2001,KIDNAPPING AND ABDUCTION OF OTHERS,4,East
ARUNACHAL PRADESH,SIANG EAST,2001,DACOITY,4,East
ARUNACHAL PRADESH,SIANG EAST,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,East
ARUNACHAL PRADESH,SIANG EAST,2001,ROBBERY,8,East
ARUNACHAL PRADESH,SIANG EAST,2001,BURGLARY,25,East
ARUNACHAL PRADESH,SIANG EAST,2001,THEFT,52,East
ARUNACHAL PRADESH,SIANG EAST,2001,AUTO THEFT,4,East
ARUNACHAL PRADESH,SIANG EAST,2001,OTHER THEFT,48,East
ARUNACHAL PRADESH,SIANG EAST,2001,RIOTS,1,East
ARUNACHAL PRADESH,SIANG EAST,2001,CRIMINAL BREACH OF TRUST,4,East
ARUNACHAL PRADESH,SIANG EAST,2001,CHEATING,4,East
ARUNACHAL PRADESH,SIANG EAST,2001,COUNTERFIETING,0,East
ARUNACHAL PRADESH,SIANG EAST,2001,ARSON,1,East
ARUNACHAL PRADESH,SIANG EAST,2001,HURT/GREVIOUS HURT,58,East
ARUNACHAL PRADESH,SIANG EAST,2001,DOWRY DEATHS,0,East
ARUNACHAL PRADESH,SIANG EAST,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,East
ARUNACHAL PRADESH,SIANG EAST,2001,INSULT TO MODESTY OF WOMEN,0,East
ARUNACHAL PRADESH,SIANG EAST,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,2,East
ARUNACHAL PRADESH,SIANG EAST,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,East
ARUNACHAL PRADESH,SIANG EAST,2001,CAUSING DEATH BY NEGLIGENCE,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,MURDER,1,East
ARUNACHAL PRADESH,SIANG UPPER,2001,ATTEMPT TO MURDER,1,East
ARUNACHAL PRADESH,SIANG UPPER,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,RAPE,2,East
ARUNACHAL PRADESH,SIANG UPPER,2001,CUSTODIAL RAPE,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,OTHER RAPE,2,East
ARUNACHAL PRADESH,SIANG UPPER,2001,KIDNAPPING & ABDUCTION,5,East
ARUNACHAL PRADESH,SIANG UPPER,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,5,East
ARUNACHAL PRADESH,SIANG UPPER,2001,KIDNAPPING AND ABDUCTION OF OTHERS,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,DACOITY,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,ROBBERY,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,BURGLARY,5,East
ARUNACHAL PRADESH,SIANG UPPER,2001,THEFT,9,East
ARUNACHAL PRADESH,SIANG UPPER,2001,AUTO THEFT,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,OTHER THEFT,9,East
ARUNACHAL PRADESH,SIANG UPPER,2001,RIOTS,1,East
ARUNACHAL PRADESH,SIANG UPPER,2001,CRIMINAL BREACH OF TRUST,1,East
ARUNACHAL PRADESH,SIANG UPPER,2001,CHEATING,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,COUNTERFIETING,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,ARSON,2,East
ARUNACHAL PRADESH,SIANG UPPER,2001,HURT/GREVIOUS HURT,15,East
ARUNACHAL PRADESH,SIANG UPPER,2001,DOWRY DEATHS,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,3,East
ARUNACHAL PRADESH,SIANG UPPER,2001,INSULT TO MODESTY OF WOMEN,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,East
ARUNACHAL PRADESH,SIANG UPPER,2001,CAUSING DEATH BY NEGLIGENCE,0,East
ARUNACHAL PRADESH,SIANG WEST,2001,MURDER,5,East
ARUNACHAL PRADESH,SIANG WEST,2001,ATTEMPT TO MURDER,14,East
ARUNACHAL PRADESH,SIANG WEST,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0,East
ARUNACHAL PRADESH,SIANG WEST,2001,RAPE,4,East
ARUNACHAL PRADESH,SIANG WEST,2001,CUSTODIAL RAPE,0,East
ARUNACHAL PRADESH,SIANG WEST,2001,OTHER RAPE,4,East
ARUNACHAL PRADESH,SIANG WEST,2001,KIDNAPPING & ABDUCTION,17,East
ARUNACHAL PRADESH,SIANG WEST,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,10,East
ARUNACHAL PRADESH,SIANG WEST,2001,KIDNAPPING AND ABDUCTION OF OTHERS,7,East
ARUNACHAL PRADESH,SIANG WEST,2001,DACOITY,1,East
ARUNACHAL PRADESH,SIANG WEST,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,East
ARUNACHAL PRADESH,SIANG WEST,2001,ROBBERY,10,East
ARUNACHAL PRADESH,SIANG WEST,2001,BURGLARY,34,East
ARUNACHAL PRADESH,SIANG WEST,2001,THEFT,72,East
ARUNACHAL PRADESH,SIANG WEST,2001,AUTO THEFT,1,East
