STATE/UT,DISTRICT,YEAR,crime_type,crime_count,Region
HARYANA,KURUKSHETRA,2001,COUNTERFIETING,1,North
HARYANA,KURUKSHETRA,2001,ARSON,4,North
HARYANA,KURUKSHETRA,2001,HURT/GREVIOUS HURT,172,North
HARYANA,KURUKSHETRA,2001,DOWRY DEATHS,10,North
HARYANA,KURUKSHETRA,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,28,North
HARYANA,KURUKSHETRA,2001,INSULT TO MODESTY OF WOMEN,8,North
HARYANA,KURUKSHETRA,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,68,North
HARYANA,KURUKSHETRA,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,KURUKSHETRA,2001,CAUSING DEATH BY NEGLIGENCE,0,North
HARYANA,MAHENDRAGARH,2001,MURDER,26,North
HARYANA,MAHENDRAGARH,2001,ATTEMPT TO MURDER,10,North
HARYANA,MAHENDRAGARH,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,0,North
HARYANA,MAHENDRAGARH,2001,RAPE,11,North
HARYANA,MAHENDRAGARH,2001,CUSTODIAL RAPE,0,North
HARYANA,MAHENDRAGARH,2001,OTHER RAPE,11,North
HARYANA,MAHENDRAGARH,2001,KIDNAPPING & ABDUCTION,13,North
HARYANA,MAHENDRAGARH,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,8,North
HARYANA,MAHENDRAGARH,2001,KIDNAPPING AND ABDUCTION OF OTHERS,5,North
HARYANA,MAHENDRAGARH,2001,DACOITY,1,North
HARYANA,MAHENDRAGARH,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,North
HARYANA,MAHENDRAGARH,2001,ROBBERY,1,North
HARYANA,MAHENDRAGARH,2001,BURGLARY,59,North
HARYANA,MAHENDRAGARH,2001,THEFT,116,North
HARYANA,MAHENDRAGARH,2001,AUTO THEFT,32,North
HARYANA,MAHENDRAGARH,2001,OTHER THEFT,84,North
HARYANA,MAHENDRAGARH,2001,RIOTS,47,North
HARYANA,MAHENDRAGARH,2001,CRIMINAL BREACH OF TRUST,34,North
HARYANA,MAHENDRAGARH,2001,CHEATING,9,North
HARYANA,MAHENDRAGARH,2001,COUNTERFIETING,1,North
HARYANA,MAHENDRAGARH,2001,ARSON,21,North
HARYANA,MAHENDRAGARH,2001,HURT/GREVIOUS HURT,157,North
HARYANA,MAHENDRAGARH,2001,DOWRY DEATHS,8,North
HARYANA,MAHENDRAGARH,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19,North
HARYANA,MAHENDRAGARH,2001,INSULT TO MODESTY OF WOMEN,0,North
HARYANA,MAHENDRAGARH,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,23,North
HARYANA,MAHENDRAGARH,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,MAHENDRAGARH,2001,CAUSING DEATH BY NEGLIGENCE,2,North
HARYANA,PANCHKULA,2001,MURDER,12,North
HARYANA,PANCHKULA,2001,ATTEMPT TO MURDER,7,North
HARYANA,PANCHKULA,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,1,North
HARYANA,PANCHKULA,2001,RAPE,6,North
HARYANA,PANCHKULA,2001,CUSTODIAL RAPE,0,North
HARYANA,PANCHKULA,2001,OTHER RAPE,6,North
HARYANA,PANCHKULA,2001,KIDNAPPING & ABDUCTION,18,North
HARYANA,PANCHKULA,2001,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,15,North
HARYANA,PANCHKULA,2001,KIDNAPPING AND ABDUCTION OF OTHERS,3,North
HARYANA,PANCHKULA,2001,DACOITY,1,North
HARYANA,PANCHKULA,2001,PREPARATION AND ASSEMBLY FOR DACOITY,0,North
HARYANA,PANCHKULA,2001,ROBBERY,5,North
HARYANA,PANCHKULA,2001,BURGLARY,118,North
HARYANA,PANCHKULA,2001,THEFT,226,North
HARYANA,PANCHKULA,2001,AUTO THEFT,95,North
HARYANA,PANCHKULA,2001,OTHER THEFT,131,North
HARYANA,PANCHKULA,2001,RIOTS,1,North
HARYANA,PANCHKULA,2001,CRIMINAL BREACH OF TRUST,22,North
HARYANA,PANCHKULA,2001,CHEATING,19,North
HARYANA,PANCHKULA,2001,COUNTERFIETING,2,North
HARYANA,PANCHKULA,2001,ARSON,2,North
HARYANA,PANCHKULA,2001,HURT/GREVIOUS HURT,21,North
HARYANA,PANCHKULA,2001,DOWRY DEATHS,4,North
HARYANA,PANCHKULA,2001,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,23,North
HARYANA,PANCHKULA,2001,INSULT TO MODESTY OF WOMEN,10,North
HARYANA,PANCHKULA,2001,CRUELTY BY HUSBAND OR HIS RELATIVES,43,North
HARYANA,PANCHKULA,2001,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,0,North
HARYANA,PANCHKULA,2001,CAUSING DEATH BY NEGLIGENCE,73,North
HARYANA,PANIPAT,2001,MURDER,43,North
HARYANA,PANIPAT,2001,ATTEMPT TO MURDER,26,North
HARYANA,PANIPAT,2001,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,3,North
